category,loud_mean,loud_std,pause_ratio,pitch_mean,pitch_std,syllables_per_sec,spectral_centroid,spectral_rolloff,words_per_minute,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_bandwidth,spectral_flux,chroma_mean,file,File Name,speech_pace,pausing_fluency,loudness_control,pitch__variation,articulation_clarity,expressive_emphasis,filler_words,overall,strengths,areas_for_improvement
Informative,0.058551233,0.07518595,0.4089003431,1407.3585,1014.5365,4.416152642,4035.090042,5335.657051,177.3583884,0.151318313,-412.73087,65.27368,-1.3047426,4.3274055,-4.424483,-4.7077556,-12.42341,-16.618635,-6.161702,-9.071879,-4.622205,-0.75195116,-1.7746159,1677.216022,0.94476503,0.32123125,i1.mp3,i1.mp3,3,4,4,2,3,2,5,3,Speech is mostly clear. No unnecessary pauses.,Too restricted and rigid
Informative,0.045444332,0.056802757,0.3931045795,1525.5225,1075.8364,4.587077854,2999.200738,4576.025404,172.1405217,0.09353311642,-447.1878,49.671967,-2.2520442,5.7278705,-4.2169485,0.42569628,-11.280773,-10.09762,-8.239148,-6.5114565,-7.2364016,-5.389012,-4.164217,1873.663546,0.9162534,0.32023403,i10.mp3,i10.mp3,4,4,3,4,4,4,4,4,Articulation,Volume control
Informative,0.013568477,0.020839684,0.6036764842,1840.3522,1186.2699,4.175158813,4236.700641,5911.578537,111.815412,0.1164210142,-525.99194,32.05354,-5.0330987,11.213982,-4.6553025,-3.194614,-9.697128,-5.1272635,-7.9454894,-7.457439,-5.944115,-6.1648607,-3.0992296,2004.006974,0.801017,0.30713537,i11.mp3,i11.mp3,3,3,3,3,2,2,4,3,No unnecessary pauses,Lacks expressive tone
Informative,0.012776742,0.02375787,0.6544673086,1726.1304,1131.6221,4.040877355,4554.601898,6126.027636,148.2235616,0.1786905112,-557.2666,26.096048,-10.376691,13.409354,-13.323899,-0.88640743,-4.1408005,-13.975668,-4.331159,-6.0827274,-6.156586,-2.7023797,-3.974992,1966.586556,0.64372385,0.28761694,i12.mp3,i12.mp3,4,4,4,4,3,4,4,4,Expressive speaker,
Informative,0.025008418,0.03498154,0.4603663533,1701.1558,1099.508,4.288838404,5124.639617,7030.378678,150.9096224,0.1972622054,-476.79538,37.03179,-8.765612,8.399008,-7.5814366,-1.4638652,-16.84966,-8.028883,-9.755993,-8.870133,-4.290373,-6.532194,-2.2874649,2237.848658,0.80355406,0.284314,i13.mp3,i13.mp3,4,3,4,4,4,5,5,4,Effective emphasis on content highlights,
Informative,0.024444602,0.034314923,0.4961195443,1650.2417,1086.6952,4.481696551,4552.580644,6394.434591,194.6675242,0.1735859295,-461.43472,42.380463,-6.4601855,0.50555634,-9.455944,0.32616413,-16.408123,-10.9323635,-11.504055,-8.671407,-2.1173387,-5.424599,-2.106277,2132.006662,0.8043711,0.28909802,i14.mp3,i14.mp3,2,3,3,4,3,3,4,3,Natural and spontaneous,Too fast on certain points
Informative,0.007205318,0.0130757885,0.7100622168,1636.4767,1060.7878,4.402664402,4258.403662,5799.933998,189.2235662,0.1683561259,-577.3248,46.037167,-9.993128,0.04068908,-1.2844429,-4.4298153,-14.136722,-15.8728,-9.177149,-10.684659,-5.1470504,-2.4471667,-5.3870645,1849.048374,0.6921183,0.27721626,i15.mp3,i15.mp3,4,4,3,3,4,3,4,3,Pacing is easy to follow,Intonation variation
Informative,0.034988757,0.04179192,0.3798233728,1794.4003,1126.1259,4.236129367,4917.444096,6606.719287,213.6648993,0.1893894566,-464.34598,47.599266,-11.663556,7.8948693,-6.4962754,1.8171968,-18.48016,-10.152564,-11.008237,-12.856522,-7.984368,-7.7347693,-2.0780675,2014.745784,0.8943274,0.30009732,i16.mp3,i16.mp3,4,4,4,4,4,5,4,4,Natural and spontaneous,
Informative,0.059193473,0.057141777,0.2805205915,1608.2885,1136.2721,4.892001711,3131.973429,4395.747732,151.2281559,0.1120100839,-442.41464,58.472652,5.9408555,18.757133,-3.3570538,6.962872,-7.082207,-6.2098885,-5.169566,-4.0699663,-6.1022787,-5.768447,-3.9456425,1444.557237,1.0577387,0.3338768,i17.mp3,i17.mp3,5,4,4,5,5,4,5,4,Articulate and sustained pacing,
Informative,0.016217733,0.026169658,0.6349558398,1428.7068,1066.703,4.197648453,2713.502504,4069.191637,140.4105732,0.09838991436,-464.2817,33.88023,4.3520875,3.5882778,-3.5278928,1.5723865,-6.8881693,-6.769012,-9.980749,-8.115401,-6.77222,-3.9148893,-3.8366156,1582.996525,0.64724207,0.36240694,i2.1.mp3,i2.1,4,4,5,3,4,2,5,5,Speech is mostly clear. No unnecessary pauses.,Too restricted and rigid
